township,township_en,township_mm,township_code_en,township_code_mm,state_code,state_en,state_mm,wiki_township_mm,wiki_township_en
KYAIDON,KYAI DON,ကျုံဒိုး,KADANA,ကဒန,3,Kayin,ကရင်ပြည်နယ်,ကျုံဒိုး,Kyondoe
KYAIKKHAMI,KYAIK KHA MI,ကျိုက်ခမီ,KAKHAMA,ကခမ,10,Mon,မွန်ပြည်နယ်,ကျိုက္ခမီ,Kyaik Kha Mi
KYAIKLATT,KYAIK LATT,ကျိုက်လတ်,KALANA,ကလန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ကျိုက်လတ်,Kyaiklat
KYAIKTO,KYAIK TO,ကျိုက်ထို,KAHTANA,ကထန,10,Mon,မွန်ပြည်နယ်,ကျိုက်ထို,Kyaikto
KYAIKEMARAW,KYAIKE MA RAW,ကျိုက်မရော,KAMAYA,ကမရ,10,Mon,မွန်ပြည်နယ်,ကျိုက်မရော,Kyaikmaraw
KYANGIN,KYANGIN,ကြံခင်း,KAKHANA,ကခန,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,ကြံခင်း,Kyangin
KYARINSEIKKYI,KYAR IN SEIK KYI,ကြာအင်းဆိပ်ကြီး,KASAKA,ကဆက,3,Kayin,ကရင်ပြည်နယ်,ကြာအင်းဆိပ်ကြီး,Kyainseikgyi
KYAUKHTU,KYAUK HTU,ကျောက်ထု,KAHTANA,ကထန,8,Magway,မကွေးတိုင်းဒေသကြီး,ကျောက်ထု,Kyaukhtu
KYAUKKYI,KYAUK KYI,ကျောက်ကြီး,KAKANA,ကကန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ကျောက်ကြီး,Kyaukkyi
KYAUKME,KYAUK ME,ကျောက်မဲ,KAMANA,ကမန,13,Shan,ရှမ်းပြည်နယ်,ကျောက်မဲ,Kyaukme
